20110611T140036Z-1649-1000-1-0@asus, kopiowanie wycieczek innych użytkowników, , , , , 2011-06-11 14:00:43, , , , , , 00, , , , 2011-06-12 14:17:12
20110612T122927Z-2677-1000-1-2@asus, przykładowe wyczieczki (bardziej rozbudowane), , , , 2011-06-12 14:15:01, 2011-06-12 12:29:27, , , , , 100, 00, , , , 2011-06-12 14:15:01
20110612T122825Z-2677-1000-1-0@asus, przy make public - sprawdzić czy wycieczka nie zawiera miejsc prywatnych, , , , , 2011-06-12 12:28:25, , , , , , 00, , , , 2011-06-12 12:28:25
20110612T122851Z-2677-1000-1-1@asus, usuwanie komentarzy i zdjęć przez administratora, , , , , 2011-06-12 12:28:51, , , , , , 00, , , , 2011-06-12 14:14:26
20110611T150733Z-1649-1000-1-2@asus, wyświetlanie i edycja trasy wycieczki, wyświetlanie punktów wycieczki, , , 2011-06-12 14:19:48, 2011-06-11 15:07:33, , , , , 100, 00, , , , 2011-06-12 14:19:48
20110611T150752Z-1649-1000-1-3@asus, "poprawa show dla użytkownika, miejsca", , , , 2011-06-12 14:14:00, 2011-06-11 15:07:52, , , , , 100, 00, , , , 2011-06-12 14:19:41
20110610T061052Z-1712-1000-1-1@asus, dopisać testy RSpec, , , , , 2011-06-10 06:10:52, , , , , , 00, , , , 2011-06-10 06:10:52
20110612T141744Z-2677-1000-1-3@asus, dokumentacja, , , , 2011-06-12 14:19:48, 2011-06-12 14:17:44, , , , , 100, 00, , , , 2011-06-12 14:19:48
